FID,ogc_fid,name,description,timestamp,begin,end,altitudemode,tessellate,extrude,visibility,draworder,icon,id,nombre,descripcion,direccion,url,email,contacto,horarios,precios,titularidad,tarjetajoven,accesopmr,tlfcontacto,infoesp,wkb_geometry,VEINTICUATROHORAS,fiabilidad_pct
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f91,6220446,,,,,,,-1,0,-1,,,74515,DEA_762,TOTEM (Paseo Cerrado de Calderon),"PASEO CERRADO DE CALDERÓN, 16",,jtoscano@malaga.eu,,24 h.,,MUNICIPAL,No,No,682760873,,POINT (-4.381510355873179 36.7254254411142),Si,92
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f90,6220447,,,,,,,-1,0,-1,,,7089,DEA_206,Panadería Salvador Cristo de la Epidemia (Entrada),"CALLE CRISTO DE LA EPIDEMIA, 94",,federico@panaderiasalvador.es,,L a D 06:30 a 21:30,,PRIVADA,No,No,952513078,,POINT (-4.415396104099962 36.73269587015319),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f8f,6220448,,,,,,,-1,0,-1,,,12464,DEA_452,"TOTEM ( C/ Cristo de la Epidemia, 78)","CALLE CRISTO DE LA EPIDEMIA, 78",,jtoscano@malaga.eu,,24 h.,,MUNICIPAL,No,No,,,POINT (-4.415189889587724 36.731562061207484),Si,92
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f8e,6220449,,,,,,,-1,0,-1,,,8309,DEA_250,"EMPRESA EMASA. Depósito de Olletas (Entrada de vestuarios, acceso restringido)","CAMINO COLMENAR, 46",,registro@emasa.es,,24H,,PRIVADA,No,No,697529228,,POINT (-4.4155440920073294 36.73591741009875),Si,92
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f8d,6220450,,,,,,,-1,0,-1,,,3638,DEA_088,Parking Plaza de la Marina. Exterior Cabina,"PLAZA DE LA MARINA, 6",,jmcano@smassa.eu,,08:00-22:00,,MUNICIPAL,No,No,952218831,,POINT (-4.42018743151461 36.71758882662293),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f8c,6220451,,,,,,,-1,0,-1,,,14284,DEA_714,BIBLIOTECA MIGUEL DE CERVANTES,"CALLE JUAN FERNÁNDEZ SÚRIA, 2",,mvillegas@malaga.eu//biblio.cervantes@malaga.eu,,"L-V de 09:00-21:00h
S- 09:00-14:00",,MUNICIPAL,No,No,951926104,,POINT (-4.438773416589805 36.721933358126975),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f8b,6220452,,,,,,,-1,0,-1,,,10568,DEA_645,"EDUCACION CE San Estanislao de Kostka (Junto a los campos deportivos, detrás de la cocina)","AVENIDA DE JUAN SEBASTIÁN ELCANO, 185",,direccion.sanestanislao@fundacionloyola.es,,"L a J 08:00 a 17:00 V 08:00 a 15:00
",,PRIVADA,No,No,952250290,,POINT (-4.361085175725717 36.72203323879717),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f8a,6220453,,,,,,,-1,0,-1,,,3645,DEA_091,CULTURA Castillo Gibralfaro (Recepción),"CAMINO GIBRALFARO, 11",,sescobar@malaga.eu,,"Verano: 09:00 a 20:00 horas
Invierno: 09:00 - 18:00 horas",,MUNICIPAL,No,No,951927706,,POINT (-4.4101461914163105 36.72334133475188),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f89,6220454,,,,,,,-1,0,-1,,,80432,DEA_815,CEIP BENITO PÉREZ GALDÓS (CENTESIMAL),"CALLE JOSÉ DÍAZ-OLIVA, 3",,areainnovacion@malaga.eu,,7:00-18:00 (L-V),,PRIVADA,No,No,951293540,,POINT (-4.421213698501013 36.75391913597941),No,75
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f88,6220455,,,,,,,-1,0,-1,,,80045,DEA_801,TOTEM ALCALDE NICOLÁS,"CALLE ALCALDE NICOLÁS MAROTO, 1",,jtoscano@malaga.eu,,,,MUNICIPAL,No,No,,,POINT (-4.418800933952689 36.749126132269126),Si,92
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f87,6220456,,,,,,,-1,0,-1,,,11544,DEA_359,OMAC- CIUDAD JARDIN (RECEPCION),"CALLE ALCALDE NICOLÁS MAROTO, 3",,jmateo@malaga.eu,,L-V 09::00 a 14:00 h.,,MUNICIPAL,No,No,,,POINT (-4.417824289517547 36.74902520570509),No,82
