Distrito,Edificio,deviceName,num_desfibriladores_operativos,Fecha
Distrito 9: Campanillas,Habitec,AF1-37072559,1,2026-05-01 00:00:00
Distrito 1: Málaga Centro,Incubadoras empresas-Promalaga Citylab,AF1-37073400,1,2026-05-01 00:00:00
Distrito 1: Málaga Centro,Hospital Noble,AF1-37072574,1,2026-05-01 00:00:00
Distrito 7: Carretera de Cádiz,C.E.I.P. Manuel de Falla,AF1-37072562,1,2026-05-01 00:00:00
Distrito 7: Carretera de Cádiz,C.S.S. Carretera de Cádiz,AF1-37073718,1,2026-05-01 00:00:00
Distrito 9: Campanillas,Centro de Formación e Incubación PTA,AF1-37073397,1,2026-05-01 00:00:00
Distrito 7: Carretera de Cádiz,C.E.I.P. Clara Campoamor,AF1-37073442,1,2026-05-01 00:00:00
Distrito 9: Campanillas,Centro de control de Accesos Aparcamiento y Vigilancia - PTA,AF1-37073408,1,2026-05-01 00:00:00
Distrito 1: Málaga Centro,Incubadoras empresas-Promalaga Álamos,AF1-2B060325,1,2026-05-01 00:00:00
Distrito 10: Puerto de la Torre,Parque Central LIMASA,AF1-37072555,1,2026-05-01 00:00:00
Distrito 10: Puerto de la Torre,Incubadoras empresas-Promalaga Píndola,AF1-37072575,1,2026-05-01 00:00:00
Distrito 6: Cruz del Humilladero,C.E.I.P. Ricardo de León,AF1-37073727,1,2026-05-01 00:00:00
Distrito 6: Cruz del Humilladero,Mercado Carranque,AF1-37073415,1,2026-05-01 00:00:00
Distrito 10: Puerto de la Torre,C. Usos Múltiples Soliva,AF1-37073765,1,2026-05-01 00:00:00
Distrito 8: Churriana,C.E.I.P. Julio Caro Baroja,AF1-37073703,1,2026-05-01 00:00:00
Distrito 8: Churriana,Parroquia Santa María Estrella de los Mares,AF1-37073732,1,2026-05-01 00:00:00
Distrito 6: Cruz del Humilladero,Incubadoras empresas-Promalaga Cruz de Humilladero,AF1-37072581,1,2026-05-01 00:00:00
Distrito 11: Teatinos-Universidad,C.E.I.P. María Zambrano,AF1-37073657,1,2026-05-01 00:00:00
Distrito 1: Málaga Centro,Cementerio San Miguel,AF1-37072619,1,2026-05-01 00:00:00
Distrito 9: Campanillas,Centro de empresas IS5,AF1-37072572,1,2026-05-01 00:00:00
Distrito 6: Cruz del Humilladero,C.E.I.P. Hans Christian Andersen,AF1-37073736,1,2026-05-01 00:00:00
Distrito 7: Carretera de Cádiz,C.E.I.P. Vicente Aleixandre,AF1-37072556,1,2026-05-01 00:00:00
Distrito 4: Bailén-Miraflores,C.E.I.P. Miraflores de los Ángeles,AF1-37073661,1,2026-05-01 00:00:00
Distrito 1: Málaga Centro,Hotel Atarazanas,AF1-37073704,1,2026-05-01 00:00:00
Distrito 7: Carretera de Cádiz,C.E.I.P. Luis de Góngora,AF1-37072569,1,2026-05-01 00:00:00
Distrito 3: Ciudad Jardín,C.E.I.P. Benito Pérez Galdós,AF1-37073660,1,2026-05-01 00:00:00
Distrito 1: Málaga Centro,Incubadoras empresas-Promalaga Citylab,AF1-37073400,1,2026-04-01 00:00:00
Distrito 11: Teatinos-Universidad,C.E.I.P. María Zambrano,AF1-37073657,1,2026-04-01 00:00:00
Distrito 10: Puerto de la Torre,C.E.I.P. Fuente Alegre,AF1-37072585,1,2026-04-01 00:00:00
Distrito 6: Cruz del Humilladero,Mercado Carranque,AF1-37073415,1,2026-04-01 00:00:00
Distrito 8: Churriana,Parroquia Santa María Estrella de los Mares,AF1-37073732,1,2026-04-01 00:00:00
Distrito 1: Málaga Centro,Cementerio San Miguel,AF1-37072619,1,2026-04-01 00:00:00
Distrito 9: Campanillas,Centro de Formación e Incubación PTA,AF1-37073397,1,2026-04-01 00:00:00
Distrito 10: Puerto de la Torre,Incubadoras empresas-Promalaga Píndola,AF1-37072575,1,2026-04-01 00:00:00
Distrito 8: Churriana,C.E.I.P. Julio Caro Baroja,AF1-37073703,1,2026-04-01 00:00:00
Distrito 2: Málaga Este,Fábrica de cemento - FYM Heilderberg,AFI-37073358,1,2026-04-01 00:00:00
Distrito 7: Carretera de Cádiz,C.E.I.P. Clara Campoamor,AF1-37073442,1,2026-04-01 00:00:00
Distrito 7: Carretera de Cádiz,C.E.I.P. Luis de Góngora,AF1-37072569,1,2026-04-01 00:00:00
Distrito 7: Carretera de Cádiz,C.E.I.P. Manuel de Falla,AF1-37072562,1,2026-04-01 00:00:00
Distrito 6: Cruz del Humilladero,Incubadoras empresas-Promalaga Cruz de Humilladero,AF1-37072581,1,2026-04-01 00:00:00
Distrito 1: Málaga Centro,Hotel Atarazanas,AF1-37073704,1,2026-04-01 00:00:00
Distrito 6: Cruz del Humilladero,C.E.I.P. Ricardo de León,AF1-37073727,1,2026-04-01 00:00:00
Distrito 1: Málaga Centro,Incubadoras empresas-Promalaga Álamos,AF1-2B060325,1,2026-04-01 00:00:00
Distrito 6: Cruz del Humilladero,C.E.I.P. Hans Christian Andersen,AF1-37073736,1,2026-04-01 00:00:00
Distrito 1: Málaga Centro,Museo Carmen Thyssen,AF1-37073730,1,2026-04-01 00:00:00
Distrito 1: Málaga Centro,Hospital Noble,AF1-37072574,1,2026-04-01 00:00:00
Distrito 6: Cruz del Humilladero,Auditorio municipal,AF1-37072593,1,2026-04-01 00:00:00
Distrito 9: Campanillas,Centro de empresas IS5,AF1-37072572,1,2026-04-01 00:00:00
Distrito 10: Puerto de la Torre,C. Usos Múltiples Soliva,AF1-37073765,1,2026-04-01 00:00:00
Distrito 9: Campanillas,Centro de control de Accesos Aparcamiento y Vigilancia - PTA,AF1-37073408,1,2026-04-01 00:00:00
Distrito 4: Bailén-Miraflores,C.E.I.P. Miraflores de los Ángeles,AF1-37073661,1,2026-04-01 00:00:00
Distrito 7: Carretera de Cádiz,C.S.S. Carretera de Cádiz,AF1-37073718,1,2026-04-01 00:00:00
Distrito 7: Carretera de Cádiz,C.E.I.P. Vicente Aleixandre,AF1-37072556,1,2026-04-01 00:00:00
Distrito 1: Málaga Centro,Estación de Autobuses de Muelle Heredia,AF1-37072605,1,2026-04-01 00:00:00
Distrito 9: Campanillas,Habitec,AF1-37072559,1,2026-04-01 00:00:00
Distrito 3: Ciudad Jardín,C.E.I.P. Benito Pérez Galdós,AF1-37073660,1,2026-04-01 00:00:00
